afc-gabon_16.06.15_048_read_0344	d' accord mais je ne connais pas cet endroit
afc-gabon_16.06.12_019_read_0017	vous êtes seul
afc-gabon_16.06.12_019_read_0011	il y a une pharmacie un kilomètre plus loin sur cette route
afc-gabon_16.06.12_019_read_0013	vous allez voir une croix verte sur la pharmacie
afc-gabon_16.06.14_043_read_0412	on attend vingt deux étudiants
afc-gabon_16.06.14_043_read_0413	est-ce qu' ils sont tous des soldats
afc-gabon_16.06.14_043_read_0410	oui c' est ça
afc-gabon_16.06.17_091_read_0756	bien monsieur vous allez bien
afc-gabon_16.06.16_081_read_0247	oui c' est ça
afc-gabon_16.06.13_028_read_0240	oui j' en ai un
afc-gabon_16.06.14_043_read_0418	je dois téléphoner à mon chef
afc-gabon_16.06.11_015_read_0034	oui on a du transport
afc-gabon_16.06.11_005_read_0020	oui s' il vous plaît
afc-gabon_16.06.11_015_read_0036	est-ce que le médecin est loin d' ici
afc-gabon_16.06.13_029_read_0219	il n' y a pas de roue de secours
afc-gabon_16.06.13_029_read_0218	pourquoi vous ne pouvez pas la conduire
afc-gabon_16.06.13_029_read_0217	le moteur a-t-il cessé de fonctionner
afc-gabon_16.06.22_125_read_0751	une autre personne boit de l' eau du trou
afc-gabon_16.06.11_015_read_0133	jusqu' à midi oui
afc-gabon_16.06.14_045_read_0458	bonjour madame bonjour monsieur
afc-gabon_16.06.22_120_read_0641	manger des aliments riches en fer
afc-gabon_16.06.15_063_read_0202	c' est un peugeot
afc-gabon_16.06.16_084_read_0490	bonjour madame bonjour monsieur
afc-gabon_16.06.15_063_read_0205	cela coûte combien
afc-gabon_16.06.16_067_read_0701	je vais tout de suite
afc-gabon_16.06.15_063_read_0208	bien d' accord je vais le faire
afc-gabon_16.06.14_045_read_0451	la pharmacienne est aussi médecin
afc-gabon_16.06.14_045_read_0452	bon on va tout de suite
afc-gabon_16.06.14_045_read_0453	vous allez voir une croix verte sur la pharmacie
afc-gabon_16.06.14_045_read_0454	c' est à droite ou à gauche
afc-gabon_16.06.16_083_read_0346	dans la mesure du possible demandez l' avis du médecin
afc-gabon_16.06.11_005_read_0025	huit civiles et quatorze militaires alors
afc-gabon_16.06.11_011_read_0216	je vais tout de suite
afc-gabon_16.06.16_085_read_0361	nous sommes canadiens
afc-gabon_16.06.16_079_read_0682	le malade doit boire beaucoup
afc-gabon_16.06.16_086_read_0709	il faut aller chez le docteur
afc-gabon_16.06.11_004_read_0104	il n' y a pas de roue de secours
afc-gabon_16.06.16_082_read_0276	on va manger au-dessous d' un arbre
afc-gabon_16.06.11_008_read_0063	oui s' il vous plaît
afc-gabon_16.06.20_101_read_1020	enlever la bande pour la nuit
afc-gabon_16.06.20_101_read_1026	l' enfant peut être en danger
afc-gabon_16.06.11_011_read_0178	bon on va tout de suite
afc-gabon_16.06.16_078_read_0848	nous sommes les cadres d' un cours de logistique
afc-gabon_16.06.17_091_read_0747	oui si c' est possible
afc-gabon_16.06.22_123_read_0725	mieux vaut ne jamais s' en servir
afc-gabon_16.06.22_123_read_0720	cela peut prévenir des ampoules
afc-gabon_16.06.16_084_read_0563	s' il vous plaît je cherche un bon vin blanc
afc-gabon_16.06.11_011_read_0172	d' accord mais je ne connais pas cet endroit
afc-gabon_16.06.11_008_read_0076	d' accord mais je ne connais pas cet endroit
afc-gabon_16.06.11_008_read_0075	oui on a du transport
afc-gabon_16.06.11_008_read_0073	nous sommes canadiens
afc-gabon_16.06.15_064_read_0402	il affecte surtout les bébés et les personnes âgées
afc-gabon_16.06.11_008_read_0071	s' il vous plaît monsieur l' agent
afc-gabon_16.06.16_080_read_0383	aussi boire beaucoup d' eau fréquemment entre les repas
afc-gabon_16.06.22_121_read_0973	bouillir ou ajouter de l' eau de javel
afc-gabon_16.06.16_084_read_0458	ce sont des médicaments très dangereux
afc-gabon_16.06.22_125_read_0756	appliquer le linge sur la peau à soigner
afc-gabon_16.06.17_096_read_0924	la femme dans le siège derrière moi a besoin de voir un médecin c' est urgent
afc-gabon_16.06.22_116_read_1272	l' eau s' écoule à partir d' ici
afc-gabon_16.06.11_004_read_0070	on attend vingt deux étudiants
afc-gabon_16.06.11_004_read_0076	non il y aura huit civiles
afc-gabon_16.06.12_022_read_0049	alors on va improviser quelque chose
afc-gabon_16.06.11_004_read_0074	non il y aura huit civiles
afc-gabon_16.06.20_103_read_0531	s' il vous plaît monsieur l' agent
afc-gabon_16.06.16_066_read_0887	ou faites-vous en fabriquer un
afc-gabon_16.06.11_009_read_0019	avez-vous un véhicule
afc-gabon_16.06.11_002_read_0014	bonjour monsieur tout mouvement sur cette route est interdit vous ne pouvez pas aller dans cette direction
afc-gabon_16.06.22_119_read_1207	la diarrhée avec des vomissements
afc-gabon_16.06.11_004_read_0068	on attend vingt deux étudiants
afc-gabon_16.06.17_093_read_0440	combien de temps faut-il pour se rendre à l' hôpital
afc-gabon_16.06.16_080_read_0420	il peut y avoir des ganglions
afc-gabon_16.06.16_080_read_0421	l' enfant peut être en danger
afc-gabon_16.06.16_066_read_0743	l' enfant peut être en danger
afc-gabon_16.06.14_044_read_0388	où se trouve votre voiture
afc-gabon_16.06.11_011_read_0228	oui il y en a une
afc-gabon_16.06.14_044_read_0385	les toilettes sont au fond du couloir
afc-gabon_16.06.14_044_read_0386	bien monsieur vous allez bien
afc-gabon_16.06.14_044_read_0380	est-ce qu' ils sont tous des soldats
afc-gabon_16.06.14_041_read_0268	vous allez voir une croix verte sur la pharmacie
afc-gabon_16.06.16_082_read_0297	on n' a aucun aliment à éviter
afc-gabon_16.06.16_082_read_0294	gardez un bac d' eau dans l' abri
afc-gabon_16.06.14_041_read_0263	est-ce que le médecin est loin d' ici
afc-gabon_16.06.14_041_read_0261	d' accord mais je ne connais pas cet endroit
afc-gabon_16.06.14_041_read_0260	c' est prudent d' aller voir un médecin
afc-gabon_16.06.14_041_read_0267	bon on va tout de suite
afc-gabon_16.06.14_041_read_0266	la pharmacienne est aussi médecin
afc-gabon_16.06.14_041_read_0264	il y a une pharmacie un kilomètre plus loin sur cette route
afc-gabon_16.06.17_087_read_0767	c' est un peugeot
afc-gabon_16.06.13_029_read_0138	avez-vous un véhicule
afc-gabon_16.06.17_087_read_0764	oui il y en a une
afc-gabon_16.06.11_011_read_0196	oui s' il vous plaît
afc-gabon_16.06.11_011_read_0195	vous allez dormir ici n' est-ce pas
afc-gabon_16.06.13_028_read_0239	mais c' est trop cher
afc-gabon_16.06.11_011_read_0199	bien il n' y a pas de problème
afc-gabon_16.06.17_087_read_0768	je crois que celui-là est pareil
afc-gabon_16.06.16_083_read_0355	il affecte surtout les bébés et les personnes âgées
afc-gabon_16.06.20_100_read_0507	huit civiles et quatorze militaires alors
afc-gabon_16.06.16_086_read_0651	vous allez dormir ici n' est-ce pas
afc-gabon_16.06.20_100_read_0505	est-ce qu' ils sont tous des soldats
afc-gabon_16.06.20_100_read_0504	on attend vingt deux étudiants
afc-gabon_16.06.16_080_read_0356	le moteur a-t-il cessé de fonctionner
afc-gabon_16.06.20_100_read_0500	nous sommes les cadres d' un cours de logistique
afc-gabon_16.06.11_004_read_0159	cela coûte combien
afc-gabon_16.06.20_101_read_0985	le riz en poudre est meilleur
afc-gabon_16.06.11_004_read_0094	où se trouve votre voiture
